long,lat,order,hole,piece,group,id,total
-87.67996182,42.00474806,129,FALSE,1,1.1,1,34
-87.67999268,42.00481777,130,FALSE,1,1.1,1,34
-87.68008634,42.00502385,131,FALSE,1,1.1,1,34
-87.68017057,42.00520583,132,FALSE,1,1.1,1,34
-87.68030283,42.00549159,133,FALSE,1,1.1,1,34
-87.68041938,42.0057442,134,FALSE,1,1.1,1,34
-87.68046998,42.00585499,135,FALSE,1,1.1,1,34
-87.68054229,42.00601204,136,FALSE,1,1.1,1,34
-87.68065153,42.00625009,137,FALSE,1,1.1,1,34
-87.68073801,42.00643571,138,FALSE,1,1.1,1,34
-87.68089963,42.00678256,139,FALSE,1,1.1,1,34
-87.68096653,42.00692882,140,FALSE,1,1.1,1,34
-87.68109538,42.00721045,141,FALSE,1,1.1,1,34
-87.68116119,42.00735011,142,FALSE,1,1.1,1,34
-87.68122438,42.00748422,143,FALSE,1,1.1,1,34
-87.68129807,42.00764617,144,FALSE,1,1.1,1,34
-87.68134421,42.00774758,145,FALSE,1,1.1,1,34
-87.68144147,42.0079596,146,FALSE,1,1.1,1,34
-87.6815175,42.00812356,147,FALSE,1,1.1,1,34
-87.68161082,42.00832471,148,FALSE,1,1.1,1,34
-87.68168218,42.00847846,149,FALSE,1,1.1,1,34
-87.68176064,42.00865004,150,FALSE,1,1.1,1,34
-87.68184246,42.00884487,151,FALSE,1,1.1,1,34
-87.68189143,42.00896148,152,FALSE,1,1.1,1,34
-87.6819307,42.00905495,153,FALSE,1,1.1,1,34
-87.68196887,42.00916142,154,FALSE,1,1.1,1,34
-87.68201706,42.00929602,155,FALSE,1,1.1,1,34
-87.68208282,42.00947921,156,FALSE,1,1.1,1,34
-87.68216204,42.00969974,157,FALSE,1,1.1,1,34
-87.68222696,42.00988592,158,FALSE,1,1.1,1,34
-87.68228845,42.01005866,159,FALSE,1,1.1,1,34
-87.68232332,42.0101566,160,FALSE,1,1.1,1,34
-87.68239866,42.0103682,161,FALSE,1,1.1,1,34
-87.68244207,42.01049152,162,FALSE,1,1.1,1,34
-87.68262207,42.01099791,163,FALSE,1,1.1,1,34
-87.68271217,42.01125732,164,FALSE,1,1.1,1,34
-87.68275344,42.01137614,165,FALSE,1,1.1,1,34
-87.68278398,42.01145925,166,FALSE,1,1.1,1,34
-87.68284223,42.01163098,167,FALSE,1,1.1,1,34
-87.68292071,42.0118571,168,FALSE,1,1.1,1,34
-87.68302633,42.01213722,169,FALSE,1,1.1,1,34
-87.68305305,42.01222003,170,FALSE,1,1.1,1,34
-87.68308622,42.01232283,171,FALSE,1,1.1,1,34
-87.68312878,42.01245473,172,FALSE,1,1.1,1,34
-87.68318479,42.01260622,173,FALSE,1,1.1,1,34
-87.68325251,42.01279919,174,FALSE,1,1.1,1,34
-87.68332167,42.01299615,175,FALSE,1,1.1,1,34
-87.68343132,42.01330805,176,FALSE,1,1.1,1,34
-87.68353877,42.01361123,177,FALSE,1,1.1,1,34
-87.68363372,42.01387768,178,FALSE,1,1.1,1,34
-87.683688,42.01403496,179,FALSE,1,1.1,1,34
-87.68373044,42.01415797,180,FALSE,1,1.1,1,34
-87.6838974,42.01462421,181,FALSE,1,1.1,1,34
-87.68404323,42.01503337,182,FALSE,1,1.1,1,34
-87.68408266,42.01515105,183,FALSE,1,1.1,1,34
-87.6841078,42.01522605,184,FALSE,1,1.1,1,34
-87.68413549,42.01531506,185,FALSE,1,1.1,1,34
-87.68415498,42.01539223,186,FALSE,1,1.1,1,34
-87.68416897,42.01546026,187,FALSE,1,1.1,1,34
-87.68418078,42.01553296,188,FALSE,1,1.1,1,34
-87.68419516,42.01566018,189,FALSE,1,1.1,1,34
-87.6842183,42.01584505,190,FALSE,1,1.1,1,34
-87.68424067,42.01602627,191,FALSE,1,1.1,1,34
-87.68424239,42.01604099,192,FALSE,1,1.1,1,34
-87.68425889,42.01618243,193,FALSE,1,1.1,1,34
-87.68428401,42.01637917,194,FALSE,1,1.1,1,34
-87.68429721,42.01649644,195,FALSE,1,1.1,1,34
-87.68431995,42.01669835,196,FALSE,1,1.1,1,34
-87.68435897,42.01703775,197,FALSE,1,1.1,1,34
-87.68443311,42.01769376,198,FALSE,1,1.1,1,34
-87.68444491,42.01779995,199,FALSE,1,1.1,1,34
-87.68446227,42.01795627,200,FALSE,1,1.1,1,34
-87.68447987,42.01811473,201,FALSE,1,1.1,1,34
-87.68452615,42.01850096,202,FALSE,1,1.1,1,34
-87.68453525,42.01857843,203,FALSE,1,1.1,1,34
-87.68457123,42.01886968,204,FALSE,1,1.1,1,34
-87.68460028,42.01907832,205,FALSE,1,1.1,1,34
-87.68463879,42.01934791,206,FALSE,1,1.1,1,34
-87.68465309,42.01948477,207,FALSE,1,1.1,1,34
-87.68439763,42.0194823,208,FALSE,1,1.1,1,34
-87.68390098,42.01947734,209,FALSE,1,1.1,1,34
-87.68325622,42.01947091,210,FALSE,1,1.1,1,34
-87.68315929,42.01946994,211,FALSE,1,1.1,1,34
-87.68311939,42.01946955,212,FALSE,1,1.1,1,34
-87.68297589,42.01946817,213,FALSE,1,1.1,1,34
-87.6829025,42.01946746,214,FALSE,1,1.1,1,34
-87.68289721,42.01946741,215,FALSE,1,1.1,1,34
-87.68289521,42.01946739,216,FALSE,1,1.1,1,34
-87.68281068,42.01946658,217,FALSE,1,1.1,1,34
-87.68281067,42.01946658,218,FALSE,1,1.1,1,34
-87.68267588,42.01946528,219,FALSE,1,1.1,1,34
-87.68188413,42.01946002,220,FALSE,1,1.1,1,34
-87.68163041,42.01945726,221,FALSE,1,1.1,1,34
-87.68147053,42.01945553,222,FALSE,1,1.1,1,34
-87.68065773,42.0194497,223,FALSE,1,1.1,1,34
-87.68061301,42.01944913,224,FALSE,1,1.1,1,34
-87.68044759,42.01944701,225,FALSE,1,1.1,1,34
-87.68044759,42.01944701,226,FALSE,1,1.1,1,34
-87.68028632,42.01944494,227,FALSE,1,1.1,1,34
-87.68024293,42.01944438,228,FALSE,1,1.1,1,34
-87.67974151,42.01944098,229,FALSE,1,1.1,1,34
-87.67938328,42.01943855,230,FALSE,1,1.1,1,34
-87.6792264,42.01943769,231,FALSE,1,1.1,1,34
-87.67918694,42.01943747,232,FALSE,1,1.1,1,34
-87.679037,42.01943664,233,FALSE,1,1.1,1,34
-87.67889871,42.01943587,234,FALSE,1,1.1,1,34
-87.67833772,42.01943236,235,FALSE,1,1.1,1,34
-87.67815659,42.01943123,236,FALSE,1,1.1,1,34
-87.67800502,42.01943048,237,FALSE,1,1.1,1,34
-87.67763305,42.01942866,238,FALSE,1,1.1,1,34
-87.67750863,42.01942805,239,FALSE,1,1.1,1,34
-87.67747474,42.01942788,240,FALSE,1,1.1,1,34
-87.67735294,42.01942726,241,FALSE,1,1.1,1,34
-87.67728044,42.01942688,242,FALSE,1,1.1,1,34
-87.67715478,42.01941146,243,FALSE,1,1.1,1,34
-87.67707864,42.01940751,244,FALSE,1,1.1,1,34
-87.67702927,42.01940864,245,FALSE,1,1.1,1,34
-87.67697605,42.01940986,246,FALSE,1,1.1,1,34
